"Statistic Label","Month","Driving Test Categories","Driving Test Centre","UNIT","VALUE"
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Tipperary, Co. Tipperary","Number","7"
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Tralee, Co. Kerry","Number","6"
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Tralee (HGV's), Co. Kerry","Number",""
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Tuam, Co. Galway","Number","5"
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Tullamore, Co. Offaly","Number","17"
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Waterford, Co. Waterford","Number","35"
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Wexford, Co. Wexford","Number","8"
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Wicklow, Co. Wicklow","Number","17"
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Galway (Clybaun Hotel), Co. Galway","Number",""
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Sandyford, Co. Dublin","Number",""
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Drogheda – Southgate, Co. Louth","Number",""
"Driving Tests Not Conducted / Abandoned","2022 July","Category B (Car or light van)","Mitchelstown, Co. Cork","Number",""
